playlist,cluster,id
1970s.csv,0,44
1970s.csv,11,43
1970s.csv,4,18
1970s.csv,9,12
1970s.csv,10,10
1970s.csv,5,7
1970s.csv,7,6
1970s.csv,3,4
1970s.csv,6,4
1970s.csv,2,1
1970s.csv,8,1
1980s.csv,0,22
1980s.csv,4,12
1980s.csv,10,11
1980s.csv,11,11
1980s.csv,9,7
1980s.csv,7,5
1980s.csv,5,3
1980s.csv,6,1
1990s.csv,4,19
1990s.csv,0,15
1990s.csv,5,11
1990s.csv,9,8
1990s.csv,10,6
1990s.csv,11,6
1990s.csv,6,3
1990s.csv,7,2
1990s.csv,2,1
1990s.csv,3,1
2000s.csv,0,25
2000s.csv,4,15
2000s.csv,9,10
2000s.csv,5,7
2000s.csv,3,5
2000s.csv,10,5
2000s.csv,7,3
2000s.csv,11,2
2000s.csv,6,1
2010s.csv,9,25
2010s.csv,0,20
2010s.csv,4,15
2010s.csv,5,10
2010s.csv,10,9
2010s.csv,7,7
2010s.csv,3,6
2010s.csv,2,2
2010s.csv,11,2
2020s.csv,0,16
2020s.csv,9,12
2020s.csv,4,8
2020s.csv,10,8
2020s.csv,11,6
2020s.csv,5,4
2020s.csv,6,2
2020s.csv,7,1
2023_best_of.csv,4,32
2023_best_of.csv,10,30
2023_best_of.csv,0,28
2023_best_of.csv,9,22
2023_best_of.csv,11,22
2023_best_of.csv,6,12
2023_best_of.csv,3,9
2023_best_of.csv,5,9
2023_best_of.csv,7,4
2023_best_of.csv,2,3
2023_bravohits.csv,9,10
2023_bravohits.csv,4,9
2023_bravohits.csv,0,8
2023_bravohits.csv,10,8
2023_bravohits.csv,5,5
2023_bravohits.csv,3,4
2023_bravohits.csv,2,1
2023_bravohits.csv,7,1
2023_deutschrap.csv,3,35
2023_deutschrap.csv,4,28
2023_deutschrap.csv,10,10
2023_deutschrap.csv,0,4
2023_deutschrap.csv,9,4
2023_deutschrap.csv,5,2
2023_deutschrap.csv,2,1
2023_deutschrap.csv,7,1
2023_deutschrap.csv,11,1
2023_hiphop_mixtape.csv,3,20
2023_hiphop_mixtape.csv,4,15
2023_hiphop_mixtape.csv,10,9
2023_hiphop_mixtape.csv,9,8
2023_hiphop_mixtape.csv,0,5
2023_hiphop_mixtape.csv,11,3
2023_hiphop_mixtape.csv,6,2
2023_hiphop_mixtape.csv,2,1
2023_hiphop_mixtape.csv,5,1
2023_hiphop_mixtape.csv,7,1
2023_house_techno.csv,0,16
2023_house_techno.csv,4,16
2023_house_techno.csv,2,9
2023_house_techno.csv,10,7
2023_house_techno.csv,9,5
2023_house_techno.csv,7,4
2023_house_techno.csv,5,2
2023_tech_house.csv,2,63
2023_tech_house.csv,0,47
2023_tech_house.csv,4,20
2023_tech_house.csv,9,19
2023_tech_house.csv,10,8
2023_tech_house.csv,7,7
2023_the_dome.csv,3,9
2023_the_dome.csv,4,3
2023_the_dome.csv,0,2
2023_the_dome.csv,10,2
2023_the_dome.csv,11,2
2023_the_dome.csv,5,1
2023_the_dome.csv,7,1
best_of-blues.csv,11,24
best_of-blues.csv,0,15
best_of-blues.csv,6,15
best_of-blues.csv,4,5
best_of-blues.csv,5,3
best_of-blues.csv,7,2
best_of-blues.csv,10,2
best_of-blues.csv,2,1
best_of-blues.csv,8,1
best_of-blues.csv,9,1
best_of-blues_jazz_soul.csv,6,12
best_of-blues_jazz_soul.csv,0,4
best_of-blues_jazz_soul.csv,11,4
best_of-blues_jazz_soul.csv,2,1
best_of-blues_jazz_soul.csv,7,1
best_of-classic.csv,8,51
best_of-classic.csv,1,29
best_of-classic.csv,11,2
best_of-classic.csv,6,1
best_of-country.csv,0,27
best_of-country.csv,11,25
best_of-country.csv,9,22
best_of-country.csv,5,11
best_of-country.csv,6,10
best_of-country.csv,7,2
best_of-country.csv,10,1
best_of_afrobeats.csv,4,73
best_of_afrobeats.csv,0,63
best_of_afrobeats.csv,3,15
best_of_afrobeats.csv,6,9
best_of_afrobeats.csv,5,8
best_of_afrobeats.csv,11,8
best_of_afrobeats.csv,7,5
best_of_afrobeats.csv,10,5
best_of_afrobeats.csv,9,1
best_of_britpop.csv,9,13
best_of_britpop.csv,5,11
best_of_britpop.csv,0,9
best_of_britpop.csv,10,6
best_of_britpop.csv,4,5
best_of_britpop.csv,7,3
best_of_britpop.csv,2,1
best_of_britpop.csv,6,1
best_of_dancehall.csv,3,40
best_of_dancehall.csv,4,24
best_of_dancehall.csv,0,21
best_of_dancehall.csv,6,4
best_of_dancehall.csv,9,4
best_of_dancehall.csv,5,3
best_of_dancehall.csv,7,3
best_of_dancehall.csv,10,2
best_of_deep_house.csv,2,45
best_of_deep_house.csv,0,3
best_of_deep_house.csv,4,3
best_of_deep_house.csv,7,3
best_of_deep_house.csv,10,2
best_of_deep_house.csv,9,1
best_of_dreampop.csv,2,18
best_of_dreampop.csv,10,7
best_of_dreampop.csv,9,5
best_of_dreampop.csv,11,5
best_of_dreampop.csv,5,4
best_of_dreampop.csv,6,4
best_of_dreampop.csv,8,3
best_of_dreampop.csv,0,2
best_of_dreampop.csv,4,2
best_of_drill.csv,3,77
best_of_drill.csv,0,8
best_of_drill.csv,4,5
best_of_drill.csv,7,5
best_of_drill.csv,6,2
best_of_drill.csv,9,2
best_of_drill.csv,10,1
best_of_electro_swing.csv,4,62
best_of_electro_swing.csv,0,50
best_of_electro_swing.csv,2,16
best_of_electro_swing.csv,7,7
best_of_electro_swing.csv,10,5
best_of_electro_swing.csv,3,4
best_of_electro_swing.csv,9,4
best_of_electro_swing.csv,6,2
best_of_electro_swing.csv,5,1
best_of_electronic.csv,4,28
best_of_electronic.csv,10,25
best_of_electronic.csv,9,16
best_of_electronic.csv,0,13
best_of_electronic.csv,5,6
best_of_electronic.csv,2,3
best_of_electronic.csv,3,3
best_of_electronic.csv,7,3
best_of_electronic.csv,11,1
best_of_eurodance.csv,4,102
best_of_eurodance.csv,0,70
best_of_eurodance.csv,2,53
best_of_eurodance.csv,10,28
best_of_eurodance.csv,9,21
best_of_eurodance.csv,7,12
best_of_eurodance.csv,5,10
best_of_eurodance.csv,11,1
best_of_folk.csv,11,31
best_of_folk.csv,8,8
best_of_folk.csv,9,5
best_of_folk.csv,7,4
best_of_folk.csv,4,3
best_of_folk.csv,5,3
best_of_folk.csv,6,3
best_of_folk.csv,0,2
best_of_folk.csv,10,1
best_of_grime.csv,3,234
best_of_grime.csv,10,16
best_of_grime.csv,0,14
best_of_grime.csv,4,14
best_of_grime.csv,6,13
best_of_grime.csv,7,13
best_of_grime.csv,11,6
best_of_grime.csv,9,4
best_of_grime.csv,5,3
best_of_hiphop.csv,0,21
best_of_hiphop.csv,3,21
best_of_hiphop.csv,9,19
best_of_hiphop.csv,4,10
best_of_hiphop.csv,7,8
best_of_hiphop.csv,10,8
best_of_hiphop.csv,5,3
best_of_hiphop.csv,11,3
best_of_hiphop.csv,6,1
best_of_house.csv,9,22
best_of_house.csv,2,16
best_of_house.csv,10,13
best_of_house.csv,4,9
best_of_house.csv,0,5
best_of_house.csv,7,3
best_of_house.csv,11,2
best_of_house.csv,6,1
best_of_jazz.csv,11,9
best_of_jazz.csv,8,4
best_of_jazz.csv,1,3
best_of_jazz.csv,6,2
best_of_jazz.csv,2,1
best_of_kpop.csv,4,103
best_of_kpop.csv,0,86
best_of_kpop.csv,9,36
best_of_kpop.csv,10,32
best_of_kpop.csv,5,23
best_of_kpop.csv,7,15
best_of_kpop.csv,3,10
best_of_kpop.csv,6,6
best_of_kpop.csv,11,6
best_of_latin.csv,4,25
best_of_latin.csv,0,18
best_of_latin.csv,5,7
best_of_latin.csv,9,5
best_of_latin.csv,10,4
best_of_latin.csv,3,3
best_of_latin.csv,6,1
best_of_latin.csv,7,1
best_of_melodic_death_metal.csv,9,29
best_of_melodic_death_metal.csv,10,28
best_of_melodic_death_metal.csv,2,26
best_of_melodic_death_metal.csv,5,21
best_of_melodic_death_metal.csv,6,17
best_of_melodic_death_metal.csv,7,7
best_of_melodic_death_metal.csv,8,1
best_of_metal.csv,9,58
best_of_metal.csv,5,56
best_of_metal.csv,10,47
best_of_metal.csv,7,10
best_of_metal.csv,6,8
best_of_metal.csv,2,7
best_of_metal.csv,4,4
best_of_metal.csv,0,3
best_of_metal.csv,3,1
best_of_metal.csv,11,1
best_of_neue_deutsche_welle.csv,0,16
best_of_neue_deutsche_welle.csv,4,10
best_of_neue_deutsche_welle.csv,5,9
best_of_neue_deutsche_welle.csv,11,6
best_of_neue_deutsche_welle.csv,9,5
best_of_neue_deutsche_welle.csv,7,3
best_of_neue_deutsche_welle.csv,2,1
best_of_new_age.csv,2,33
best_of_new_age.csv,10,19
best_of_new_age.csv,9,12
best_of_new_age.csv,8,10
best_of_new_age.csv,11,9
best_of_new_age.csv,4,3
best_of_new_age.csv,5,3
best_of_new_age.csv,6,2
best_of_new_age.csv,7,2
best_of_new_age.csv,1,1
best_of_organic_house.csv,2,50
best_of_pop.csv,0,33
best_of_pop.csv,4,26
best_of_pop.csv,9,21
best_of_pop.csv,10,19
best_of_pop.csv,11,18
best_of_pop.csv,5,10
best_of_pop.csv,6,8
best_of_pop.csv,3,5
best_of_pop.csv,7,4
best_of_pop.csv,8,1
best_of_punk.csv,5,32
best_of_punk.csv,9,22
best_of_punk.csv,0,15
best_of_punk.csv,10,9
best_of_punk.csv,7,7
best_of_punk.csv,4,3
best_of_punk.csv,6,3
best_of_punk.csv,2,2
best_of_punk.csv,11,2
best_of_rap.csv,3,106
best_of_rap.csv,4,50
best_of_rap.csv,9,36
best_of_rap.csv,0,30
best_of_rap.csv,10,23
best_of_rap.csv,7,20
best_of_rap.csv,5,10
best_of_rap.csv,6,6
best_of_rap.csv,11,4
best_of_reggae.csv,0,34
best_of_reggae.csv,4,21
best_of_reggae.csv,3,10
best_of_reggae.csv,11,7
best_of_reggae.csv,5,3
best_of_reggae.csv,9,3
best_of_reggae.csv,10,2
best_of_reggae.csv,6,1
best_of_reggaeton.csv,0,33
best_of_reggaeton.csv,4,33
best_of_reggaeton.csv,5,8
best_of_reggaeton.csv,3,6
best_of_reggaeton.csv,7,5
best_of_reggaeton.csv,9,4
best_of_reggaeton.csv,10,2
best_of_rnb.csv,4,60
best_of_rnb.csv,0,36
best_of_rnb.csv,3,18
best_of_rnb.csv,7,17
best_of_rnb.csv,9,17
best_of_rnb.csv,10,14
best_of_rnb.csv,5,7
best_of_rnb.csv,11,3
best_of_rnb.csv,6,2
best_of_rock.csv,9,74
best_of_rock.csv,0,66
best_of_rock.csv,11,29
best_of_rock.csv,5,24
best_of_rock.csv,4,21
best_of_rock.csv,10,21
best_of_rock.csv,6,9
best_of_rock.csv,7,9
best_of_rock.csv,2,1
best_of_ska.csv,5,32
best_of_ska.csv,0,29
best_of_ska.csv,4,14
best_of_ska.csv,7,6
best_of_ska.csv,9,6
best_of_ska.csv,10,3
best_of_ska.csv,11,1
best_of_soul.csv,0,20
best_of_soul.csv,11,14
best_of_soul.csv,4,9
best_of_soul.csv,7,4
best_of_soul.csv,3,2
best_of_soul.csv,5,2
