playlist,cluster,id
1970s.csv,8,42
1970s.csv,2,38
1970s.csv,0,34
1970s.csv,4,15
1970s.csv,1,10
1970s.csv,9,5
1970s.csv,11,4
1970s.csv,3,1
1970s.csv,5,1
1980s.csv,0,27
1980s.csv,8,16
1980s.csv,4,11
1980s.csv,2,7
1980s.csv,9,6
1980s.csv,1,5
1990s.csv,0,24
1990s.csv,1,13
1990s.csv,8,13
1990s.csv,4,11
1990s.csv,2,5
1990s.csv,3,2
1990s.csv,9,2
1990s.csv,6,1
1990s.csv,11,1
2000s.csv,0,29
2000s.csv,4,15
2000s.csv,1,7
2000s.csv,3,7
2000s.csv,8,6
2000s.csv,11,4
2000s.csv,9,3
2000s.csv,2,2
2010s.csv,0,32
2010s.csv,4,28
2010s.csv,1,10
2010s.csv,3,7
2010s.csv,8,7
2010s.csv,9,7
2010s.csv,2,2
2010s.csv,6,2
2010s.csv,11,1
2020s.csv,0,15
2020s.csv,8,15
2020s.csv,4,13
2020s.csv,2,6
2020s.csv,1,4
2020s.csv,3,2
2020s.csv,5,1
2020s.csv,9,1
2023_best_of.csv,0,44
2023_best_of.csv,4,38
2023_best_of.csv,2,26
2023_best_of.csv,8,26
2023_best_of.csv,1,16
2023_best_of.csv,11,7
2023_best_of.csv,3,5
2023_best_of.csv,9,5
2023_best_of.csv,6,4
2023_bravohits.csv,0,11
2023_bravohits.csv,4,10
2023_bravohits.csv,1,7
2023_bravohits.csv,8,7
2023_bravohits.csv,11,4
2023_bravohits.csv,3,3
2023_bravohits.csv,2,2
2023_bravohits.csv,6,1
2023_bravohits.csv,9,1
2023_deutschrap.csv,11,25
2023_deutschrap.csv,8,22
2023_deutschrap.csv,3,15
2023_deutschrap.csv,0,12
2023_deutschrap.csv,4,6
2023_deutschrap.csv,1,2
2023_deutschrap.csv,6,2
2023_deutschrap.csv,2,1
2023_deutschrap.csv,9,1
2023_hiphop_mixtape.csv,11,20
2023_hiphop_mixtape.csv,8,14
2023_hiphop_mixtape.csv,3,10
2023_hiphop_mixtape.csv,4,9
2023_hiphop_mixtape.csv,0,6
2023_hiphop_mixtape.csv,1,3
2023_hiphop_mixtape.csv,2,1
2023_hiphop_mixtape.csv,6,1
2023_hiphop_mixtape.csv,9,1
2023_house_techno.csv,0,22
2023_house_techno.csv,6,15
2023_house_techno.csv,4,8
2023_house_techno.csv,8,5
2023_house_techno.csv,5,4
2023_house_techno.csv,9,4
2023_house_techno.csv,1,1
2023_tech_house.csv,6,90
2023_tech_house.csv,0,52
2023_tech_house.csv,4,9
2023_tech_house.csv,8,5
2023_tech_house.csv,9,5
2023_tech_house.csv,5,3
2023_the_dome.csv,8,6
2023_the_dome.csv,11,5
2023_the_dome.csv,3,4
2023_the_dome.csv,1,2
2023_the_dome.csv,0,1
2023_the_dome.csv,2,1
2023_the_dome.csv,9,1
best_of-blues.csv,2,25
best_of-blues.csv,8,21
best_of-blues.csv,1,8
best_of-blues.csv,0,5
best_of-blues.csv,5,3
best_of-blues.csv,4,2
best_of-blues.csv,9,2
best_of-blues.csv,6,1
best_of-blues.csv,7,1
best_of-blues.csv,11,1
best_of-blues_jazz_soul.csv,2,16
best_of-blues_jazz_soul.csv,0,2
best_of-blues_jazz_soul.csv,8,2
best_of-blues_jazz_soul.csv,5,1
best_of-blues_jazz_soul.csv,9,1
best_of-classic.csv,7,56
best_of-classic.csv,10,24
best_of-classic.csv,2,3
best_of-country.csv,2,26
best_of-country.csv,8,26
best_of-country.csv,0,16
best_of-country.csv,1,15
best_of-country.csv,4,13
best_of-country.csv,9,2
best_of_afrobeats.csv,0,98
best_of_afrobeats.csv,8,33
best_of_afrobeats.csv,3,19
best_of_afrobeats.csv,1,10
best_of_afrobeats.csv,11,9
best_of_afrobeats.csv,4,8
best_of_afrobeats.csv,9,6
best_of_afrobeats.csv,2,4
best_of_britpop.csv,4,16
best_of_britpop.csv,1,14
best_of_britpop.csv,0,9
best_of_britpop.csv,8,5
best_of_britpop.csv,9,3
best_of_britpop.csv,6,2
best_of_dancehall.csv,3,47
best_of_dancehall.csv,0,23
best_of_dancehall.csv,11,17
best_of_dancehall.csv,4,6
best_of_dancehall.csv,8,4
best_of_dancehall.csv,9,3
best_of_dancehall.csv,1,1
best_of_deep_house.csv,5,47
best_of_deep_house.csv,8,4
best_of_deep_house.csv,0,2
best_of_deep_house.csv,9,2
best_of_deep_house.csv,4,1
best_of_deep_house.csv,6,1
best_of_dreampop.csv,6,17
best_of_dreampop.csv,4,9
best_of_dreampop.csv,2,7
