playlist,cluster,id
1970s.csv,0,21
1970s.csv,24,21
1970s.csv,34,12
1970s.csv,35,10
1970s.csv,37,10
1970s.csv,3,8
1970s.csv,1,8
1970s.csv,32,7
1970s.csv,6,6
1970s.csv,40,5
1970s.csv,16,5
1970s.csv,41,5
1970s.csv,2,5
1970s.csv,10,4
1970s.csv,25,4
1970s.csv,29,4
1970s.csv,38,3
1970s.csv,43,3
1970s.csv,21,2
1970s.csv,9,2
1970s.csv,14,1
1970s.csv,13,1
1970s.csv,11,1
1970s.csv,42,1
1970s.csv,23,1
1980s.csv,0,10
1980s.csv,34,9
1980s.csv,6,8
1980s.csv,24,6
1980s.csv,2,5
1980s.csv,35,5
1980s.csv,38,5
1980s.csv,41,5
1980s.csv,16,3
1980s.csv,21,3
1980s.csv,9,2
1980s.csv,10,2
1980s.csv,25,2
1980s.csv,37,2
1980s.csv,15,1
1980s.csv,29,1
1980s.csv,32,1
1980s.csv,33,1
1980s.csv,3,1
1990s.csv,0,9
1990s.csv,41,7
1990s.csv,16,7
1990s.csv,2,5
1990s.csv,6,5
1990s.csv,40,4
1990s.csv,33,4
1990s.csv,24,4
1990s.csv,34,3
1990s.csv,15,3
1990s.csv,21,3
1990s.csv,29,2
1990s.csv,37,2
1990s.csv,23,2
1990s.csv,10,2
1990s.csv,4,2
1990s.csv,3,2
1990s.csv,28,1
1990s.csv,26,1
1990s.csv,1,1
1990s.csv,11,1
1990s.csv,38,1
1990s.csv,42,1
2000s.csv,41,16
2000s.csv,16,8
2000s.csv,23,7
2000s.csv,4,5
2000s.csv,6,5
2000s.csv,42,4
2000s.csv,2,4
2000s.csv,21,3
2000s.csv,38,2
2000s.csv,35,2
2000s.csv,43,2
2000s.csv,15,2
2000s.csv,13,2
2000s.csv,9,2
2000s.csv,24,1
2000s.csv,26,1
2000s.csv,29,1
2000s.csv,33,1
2000s.csv,37,1
2000s.csv,10,1
2000s.csv,40,1
2000s.csv,3,1
2000s.csv,0,1
2010s.csv,23,14
2010s.csv,2,9
2010s.csv,41,9
2010s.csv,6,7
2010s.csv,16,6
2010s.csv,15,5
2010s.csv,42,5
2010s.csv,20,4
2010s.csv,21,4
2010s.csv,33,4
2010s.csv,9,3
2010s.csv,13,3
2010s.csv,29,3
2010s.csv,38,3
2010s.csv,35,3
2010s.csv,4,2
2010s.csv,24,2
2010s.csv,26,2
2010s.csv,10,1
2010s.csv,37,1
2010s.csv,40,1
2010s.csv,28,1
2010s.csv,32,1
2010s.csv,1,1
2010s.csv,5,1
2010s.csv,0,1
2020s.csv,13,9
2020s.csv,41,8
2020s.csv,16,6
2020s.csv,23,5
2020s.csv,1,4
2020s.csv,15,3
2020s.csv,4,3
2020s.csv,37,3
2020s.csv,6,2
2020s.csv,2,2
2020s.csv,29,2
2020s.csv,35,2
2020s.csv,9,1
2020s.csv,10,1
2020s.csv,21,1
2020s.csv,3,1
2020s.csv,25,1
2020s.csv,34,1
2020s.csv,40,1
2020s.csv,20,1
2023_best_of.csv,23,19
2023_best_of.csv,13,19
2023_best_of.csv,6,16
2023_best_of.csv,41,15
2023_best_of.csv,37,14
2023_best_of.csv,1,11
2023_best_of.csv,35,9
2023_best_of.csv,15,9
2023_best_of.csv,33,6
2023_best_of.csv,4,6
2023_best_of.csv,29,6
2023_best_of.csv,2,6
2023_best_of.csv,16,5
2023_best_of.csv,40,4
2023_best_of.csv,32,3
2023_best_of.csv,24,2
2023_best_of.csv,28,2
2023_best_of.csv,8,2
2023_best_of.csv,5,2
2023_best_of.csv,10,2
2023_best_of.csv,21,2
2023_best_of.csv,14,2
2023_best_of.csv,3,2
2023_best_of.csv,38,1
2023_best_of.csv,42,1
2023_best_of.csv,0,1
2023_best_of.csv,34,1
2023_best_of.csv,26,1
2023_best_of.csv,9,1
2023_best_of.csv,43,1
2023_bravohits.csv,23,8
2023_bravohits.csv,13,8
2023_bravohits.csv,29,5
2023_bravohits.csv,15,5
2023_bravohits.csv,26,3
2023_bravohits.csv,4,2
2023_bravohits.csv,40,2
2023_bravohits.csv,2,2
2023_bravohits.csv,16,2
2023_bravohits.csv,6,2
2023_bravohits.csv,24,1
2023_bravohits.csv,9,1
2023_bravohits.csv,37,1
2023_bravohits.csv,38,1
2023_bravohits.csv,5,1
2023_bravohits.csv,41,1
2023_bravohits.csv,42,1
2023_deutschrap.csv,13,19
2023_deutschrap.csv,4,9
2023_deutschrap.csv,41,9
2023_deutschrap.csv,43,8
2023_deutschrap.csv,14,8
2023_deutschrap.csv,26,4
2023_deutschrap.csv,8,4
2023_deutschrap.csv,42,3
2023_deutschrap.csv,29,3
2023_deutschrap.csv,44,3
2023_deutschrap.csv,16,3
2023_deutschrap.csv,10,2
2023_deutschrap.csv,6,2
2023_deutschrap.csv,23,1
2023_deutschrap.csv,5,1
2023_deutschrap.csv,20,1
2023_deutschrap.csv,32,1
2023_deutschrap.csv,35,1
2023_deutschrap.csv,37,1
2023_deutschrap.csv,38,1
2023_deutschrap.csv,15,1
2023_deutschrap.csv,24,1
2023_hiphop_mixtape.csv,13,13
2023_hiphop_mixtape.csv,43,9
2023_hiphop_mixtape.csv,14,9
2023_hiphop_mixtape.csv,42,7
2023_hiphop_mixtape.csv,41,4
2023_hiphop_mixtape.csv,35,3
2023_hiphop_mixtape.csv,16,2
2023_hiphop_mixtape.csv,23,2
2023_hiphop_mixtape.csv,8,2
2023_hiphop_mixtape.csv,4,2
2023_hiphop_mixtape.csv,15,1
2023_hiphop_mixtape.csv,18,1
2023_hiphop_mixtape.csv,20,1
2023_hiphop_mixtape.csv,2,1
2023_hiphop_mixtape.csv,26,1
2023_hiphop_mixtape.csv,29,1
2023_hiphop_mixtape.csv,34,1
2023_hiphop_mixtape.csv,9,1
2023_hiphop_mixtape.csv,37,1
2023_hiphop_mixtape.csv,38,1
2023_hiphop_mixtape.csv,40,1
2023_hiphop_mixtape.csv,1,1
2023_house_techno.csv,6,11
2023_house_techno.csv,28,9
2023_house_techno.csv,0,6
2023_house_techno.csv,13,5
2023_house_techno.csv,41,5
2023_house_techno.csv,5,5
2023_house_techno.csv,23,4
2023_house_techno.csv,2,2
2023_house_techno.csv,30,2
2023_house_techno.csv,38,2
2023_house_techno.csv,15,1
2023_house_techno.csv,18,1
2023_house_techno.csv,19,1
2023_house_techno.csv,25,1
2023_house_techno.csv,27,1
2023_house_techno.csv,29,1
2023_house_techno.csv,39,1
2023_house_techno.csv,24,1
2023_tech_house.csv,28,50
2023_tech_house.csv,5,30
2023_tech_house.csv,41,21
2023_tech_house.csv,23,18
2023_tech_house.csv,27,12
2023_tech_house.csv,6,9
2023_tech_house.csv,30,5
2023_tech_house.csv,18,4
2023_tech_house.csv,0,3
2023_tech_house.csv,13,3
2023_tech_house.csv,38,3
2023_tech_house.csv,15,2
2023_tech_house.csv,4,1
2023_tech_house.csv,24,1
2023_tech_house.csv,25,1
2023_tech_house.csv,34,1
2023_the_dome.csv,4,4
2023_the_dome.csv,13,2
2023_the_dome.csv,26,2
2023_the_dome.csv,35,2
2023_the_dome.csv,1,1
2023_the_dome.csv,6,1
2023_the_dome.csv,14,1
2023_the_dome.csv,23,1
2023_the_dome.csv,24,1
2023_the_dome.csv,38,1
2023_the_dome.csv,40,1
2023_the_dome.csv,42,1
2023_the_dome.csv,43,1
2023_the_dome.csv,44,1
best_of-blues.csv,35,13
best_of-blues.csv,24,8
best_of-blues.csv,0,7
best_of-blues.csv,3,5
best_of-blues.csv,10,5
best_of-blues.csv,1,5
best_of-blues.csv,32,4
best_of-blues.csv,34,3
best_of-blues.csv,11,3
best_of-blues.csv,37,3
best_of-blues.csv,39,2
best_of-blues.csv,36,2
best_of-blues.csv,29,2
best_of-blues.csv,25,2
best_of-blues.csv,33,1
best_of-blues.csv,30,1
best_of-blues.csv,18,1
best_of-blues.csv,13,1
best_of-blues.csv,40,1
best_of-blues_jazz_soul.csv,1,6
best_of-blues_jazz_soul.csv,3,3
best_of-blues_jazz_soul.csv,35,2
best_of-blues_jazz_soul.csv,37,2
best_of-blues_jazz_soul.csv,40,2
best_of-blues_jazz_soul.csv,41,2
best_of-blues_jazz_soul.csv,16,1
best_of-blues_jazz_soul.csv,20,1
best_of-blues_jazz_soul.csv,24,1
best_of-blues_jazz_soul.csv,32,1
best_of-blues_jazz_soul.csv,39,1
best_of-classic.csv,12,24
best_of-classic.csv,7,22
best_of-classic.csv,17,17
best_of-classic.csv,36,11
best_of-classic.csv,22,6
best_of-classic.csv,3,2
best_of-classic.csv,37,1
best_of-country.csv,35,12
best_of-country.csv,16,9
best_of-country.csv,3,7
best_of-country.csv,40,7
best_of-country.csv,32,6
best_of-country.csv,10,6
best_of-country.csv,2,5
best_of-country.csv,34,5
best_of-country.csv,1,5
best_of-country.csv,24,5
best_of-country.csv,23,4
best_of-country.csv,37,4
best_of-country.csv,29,4
best_of-country.csv,33,3
best_of-country.csv,0,3
best_of-country.csv,6,3
best_of-country.csv,21,2
best_of-country.csv,38,2
best_of-country.csv,41,2
best_of-country.csv,15,1
best_of-country.csv,13,1
best_of-country.csv,9,1
best_of-country.csv,44,1
best_of_afrobeats.csv,41,63
best_of_afrobeats.csv,16,22
best_of_afrobeats.csv,35,20
best_of_afrobeats.csv,6,19
best_of_afrobeats.csv,4,9
best_of_afrobeats.csv,23,7
best_of_afrobeats.csv,42,6
best_of_afrobeats.csv,10,5
best_of_afrobeats.csv,24,5
best_of_afrobeats.csv,0,3
best_of_afrobeats.csv,26,3
best_of_afrobeats.csv,14,3
best_of_afrobeats.csv,43,2
best_of_afrobeats.csv,38,2
best_of_afrobeats.csv,37,2
best_of_afrobeats.csv,29,2
best_of_afrobeats.csv,44,2
best_of_afrobeats.csv,13,2
best_of_afrobeats.csv,9,2
best_of_afrobeats.csv,8,2
best_of_afrobeats.csv,1,1
best_of_afrobeats.csv,33,1
best_of_afrobeats.csv,15,1
best_of_afrobeats.csv,11,1
best_of_afrobeats.csv,3,1
best_of_afrobeats.csv,20,1
best_of_britpop.csv,21,8
best_of_britpop.csv,0,5
best_of_britpop.csv,6,5
best_of_britpop.csv,15,4
best_of_britpop.csv,40,4
best_of_britpop.csv,9,4
best_of_britpop.csv,2,3
best_of_britpop.csv,38,3
best_of_britpop.csv,16,2
best_of_britpop.csv,29,2
best_of_britpop.csv,34,2
best_of_britpop.csv,10,1
best_of_britpop.csv,5,1
best_of_britpop.csv,24,1
best_of_britpop.csv,25,1
best_of_britpop.csv,28,1
best_of_britpop.csv,33,1
best_of_britpop.csv,23,1
best_of_dancehall.csv,4,27
best_of_dancehall.csv,42,17
best_of_dancehall.csv,41,12
best_of_dancehall.csv,16,10
best_of_dancehall.csv,43,6
best_of_dancehall.csv,26,5
best_of_dancehall.csv,14,4
best_of_dancehall.csv,6,3
best_of_dancehall.csv,8,3
best_of_dancehall.csv,15,3
best_of_dancehall.csv,20,3
best_of_dancehall.csv,13,2
best_of_dancehall.csv,35,2
best_of_dancehall.csv,44,2
best_of_dancehall.csv,9,1
best_of_dancehall.csv,38,1
